alpha,trials,states,all_s_a,visited_s_a,avg_reward,safety,reliability
0.6102644425573539,122,92,368,282,19.311055545460622,A+,A+
0.6536861771013615,199,96,384,330,30.119154616470176,A+,A+
0.7808300238717232,112,96,384,289,19.821661865740019,A,A
0.565318751650878,34,87,348,185,11.518308048216355,F,A+
0.3744053240646664,126,93,372,294,18.111156987552377,F,A
0.902103890653911,91,94,376,279,19.848911357720763,D,A
0.12429691123227216,40,89,356,204,23.333137926667234,C,B
0.34012035705267263,122,94,376,298,22.121773346760666,A+,A+
0.130245356625544,141,95,380,304,19.974328634141521,F,A+
0.40904290762389833,94,94,376,275,20.607490201526364,A+,A+
0.09196058583049613,107,91,364,280,24.52008938310183,A+,A
0.662295938145727,136,94,376,292,20.134901881728737,A+,A+
0.28300575187211563,119,95,380,289,26.386009120427438,A+,A+
0.22897305213147234,123,94,376,283,23.457449164605418,A+,A+
0.40641373881498993,171,96,384,318,19.19239795177095,A+,A+
0.147284278003457,150,95,380,304,21.173693772572669,D,A
0.6557337890187321,169,95,380,315,20.982043293279283,A+,A+
0.525027776472506,72,94,376,247,12.538610763817777,F,A
0.05580905760049596,21,80,320,151,19.154417531533554,F,B
0.553853823881121,107,93,372,275,24.336828839558546,A+,A
0.21269775581877487,177,95,380,309,22.98947592760889,A+,B
0.10649930368939817,57,92,368,238,23.177322782306121,D,B
0.831954651581029,149,93,372,295,18.177990758501345,A+,A
0.521557439519458,40,88,352,199,23.585113412215598,F,D
0.13457407323576864,180,96,384,320,23.805331896464544,A+,A
0.2182281433674047,77,94,376,255,23.043183221922796,A+,A
0.22318035047253515,41,85,340,206,21.348959290527009,F,A+
0.889620191566736,108,94,376,286,22.209370057212276,A+,A
0.7226656968582833,68,95,380,262,24.253806323532761,A+,B
0.056975013035748416,78,94,376,265,24.863243857798146,C,B
0.12781989167885516,189,96,384,325,20.316634662524141,A+,A+
0.8327279293990639,34,83,332,192,15.484954391675213,A+,A+
0.5907814050594903,194,96,384,320,21.444607436493619,A+,A+
0.899121453632619,70,93,372,250,14.016881716346635,D,A
0.5192311903986471,127,95,380,288,18.284599983451955,A+,A+
0.6676751435204498,74,93,372,238,14.000192479159955,F,A+
0.1707436424216675,83,93,372,266,19.552389022669168,A+,A+
0.7890698402786697,150,96,384,311,21.578786211888222,A+,A+
0.17668630954608705,70,92,368,258,20.317516341435383,F,B
0.09137332179798482,154,94,376,317,21.987407636546312,A+,B
0.5238352673470685,40,88,352,209,12.407639462430211,F,B
0.32781998748752034,92,92,368,264,20.035531581006659,A+,A+
0.08120144100503227,186,95,380,315,19.209375737639753,A+,A+
0.6696202144165618,37,84,336,202,20.400053309515123,F,D
0.644350363930849,151,96,384,310,20.467356013318515,A+,A
0.1948964674710068,108,95,380,296,25.958577386674722,A,B
0.9442491931066178,79,94,376,258,20.987049435920706,F,B
0.2531494504517865,33,79,316,187,21.348859360016359,F,D
0.5969420516369033,28,87,348,170,13.993793749870923,F,F
0.45295325535176884,109,93,372,276,20.498060743253298,A+,A
