alpha,trials,states,all_s_a,visited_s_a,avg_reward,safety,reliability
0.2279936260971812,122,95,380,287,27.203896253901299,A+,C
0.9199287312400796,199,96,384,329,24.56199190900784,A+,A+
0.3424956955909964,112,92,368,285,19.940837525659269,A+,A
0.24865828079204938,34,90,360,205,17.697125804147117,F,B
0.8599657023633602,126,94,376,291,27.554070016733863,A+,C
0.05667199637771458,91,91,364,264,30.700363411136316,A,B
0.9419281005114003,40,86,344,202,23.284776862559553,D,B
0.7586363936342924,122,95,380,290,16.587798305944929,F,A+
0.46631683162573667,141,92,368,294,27.305045799107877,A,A+
0.8503978737586038,94,94,376,287,19.707983813022896,A+,A+
0.4824901590918901,107,95,380,290,24.598966886597459,A+,B
0.8927121162554614,136,95,380,291,26.597336767811971,A+,C
0.8949022334877508,119,95,380,310,24.90556081290282,A,A+
0.3306376773261158,123,95,380,292,24.861587402692482,A+,A
0.08408510903917407,171,95,380,305,21.903175822400968,A+,A
0.8058270645108976,150,95,380,308,25.233006547847932,A+,A
0.928246884758123,169,95,380,319,24.369218447993411,A+,A
0.735183074370981,72,93,372,242,21.766762048648854,F,A+
0.6162110574824919,21,80,320,161,17.866888440292193,F,B
0.9023692861082862,107,96,384,285,17.601507263941144,F,A+
0.32386127970250417,177,94,376,316,21.134096732421337,A+,A+
